getTermsInString,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\Document.java,251-9,257-257,-0.03512286221137496,-0.17972839871355337,
Document,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\Document.java,23-9,24-24,-0.002970561601372473,1.2473416907680962E-4,
Document,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\Document.java,70-9,77-77,-0.02174898079908456,0.005598365784606944,
Document,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\Document.java,15-1,258-258,-0.12246735479357396,-0.0732294274499478,
getAllDocuments,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,36-9,46-46,-0.0834536173010486,0.018531329114537316,
visit,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,48-17,68-68,-0.5308867085185212,0.15502742880172504,
visit,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,71-17,91-91,-0.5200437662386811,0.14936066792789995,
visit,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,94-17,117-117,-0.5026505787891107,0.10127694449488076,
visit,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,125-17,140-140,-0.2852175771898966,0.05716094090695032,
isParamOneBelongsToParamTwo,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,142-9,147-147,-0.04764046149060921,0.022242797366685423,
isPositionBelongsToANode,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,148-9,159-159,-0.04875640715792078,0.023433682101396482,
main,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,160-9,165-165,-0.041489066668920944,-0.0202323607241016,
DocumentExtractor,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,23-9,35-35,-0.019403122959853476,-0.009993013769150254,
FieldVisitor,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,121-17,124-124,-0.020450375232955363,0.007260806542739748,
DocumentExtractor,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\DocumentExtractor.java,17-1,166-166,-0.12274629002646736,-0.049513662399950586,
getKeywords,D:\BSSE0501\Project-801\concept_locator\src\com\geet\concept_location\corpus_creation\JavaLanguage.java,20-9,22-22,-0.0043415698920513494,-0.025151192904453414,
